谭谈交通,武汉大学,WPS,下架,霍乱病例,用户,本地文件,删除,霍乱,斯里兰卡,一例,谭乔,电视台,辞职,安倍,德国,总统,破产,碳中和,广播,环保,遴选,武昌区,2035年,文档
0.9981096,0.0034981,0.0,0.9305907,0.0038511,0.0025686,0.0,0.0,0.0070186,0.0,0.0027057,0.6430276,0.6908529,0.0078075,0.0050774,0.0,0.0,0.0270291,0.0,0.6625655,0.0200722,0.0,0.0,0.0,0.0
0.0034981,0.9983923,0.0,0.0018861,0.9063993,0.0,0.0,0.0,0.6264408,0.0,0.723167,0.0,0.0,0.0,0.0049361,0.0,0.0,0.0088684,0.0,0.0,0.0,0.0,0.5563719,0.0,0.0
0.0,0.0,0.9966216,0.0,0.0,0.9772069,0.9382099,0.980337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6377671
0.9305907,0.0018861,0.0,0.9978355,0.0020626,0.0054113,0.0,0.0,0.0,0.0,0.0028428,0.6237858,0.6461484,0.0080817,0.0052145,0.0,0.0,0.0274403,0.0,0.6041667,0.0203463,0.0,0.0,0.0,0.0
0.0038511,0.9063993,0.0,0.0020626,0.9980392,0.0,0.0,0.0,0.5848416,0.0,0.6359017,0.0,0.0,0.0,0.0051126,0.0,0.0,0.0090449,0.0,0.0,0.0,0.0,0.5555225,0.0,0.0
0.0025686,0.0,0.9772069,0.0054113,0.0,0.9967532,0.941182,0.9837238,0.0,0.0,0.0,0.0,0.0039065,0.0,0.0,0.0,0.0,0.0,0.0,0.0044643,0.0,0.0,0.0,0.0,0.6321731
0.0,0.0,0.9382099,0.0,0.0,0.941182,0.9963768,0.9475348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640546
0.0,0.0,0.980337,0.0,0.0,0.9837238,0.9475348,0.996732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6330749
0.0070186,0.6264408,0.0,0.0,0.5848416,0.0,0.0,0.0,0.9948718,0.0,0.4497653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5780591,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942197,0.0,0.0,0.0,0.9124055,0.0280896,0.0,0.9567803,0.6025079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
