Targets
Occurrences of '2022-07-11' in File test_total_data_process2.csv
Found Occurrences
Unclassified
PaperTrail
corpus\data20220911
test_total_data_process2.csv
165887,2022-07-11 23:59:59,微博热榜,#杨槠策回应家暴余秀华# 破案了，是神农架的猴精 别跑啊，回来跪下乖乖先挨一百个巴掌，再把两人花钱的明细拿出来让大伙儿开开眼,0.0,0.0,0.0,1.0
163718,2022-07-11 23:59:03,微博热榜,#谭谈交通全面下架#商标抢注这次把伸向了谭谈交通，最大的问题来了，恶意注标到底是怎么通过审核的？#职业商标抢注是恶意维权吗#新的商标法修订以来，已经明令禁止恶意注册商标审核了。2019年修订的《商标法》第4条规定，自然人、法人或者其他组织在生产经营活动中，对其商品或者服务需要取得商标专 ...全文,0.0,0.0,2.0,1.0
...163396,2022-07-11 23:59:00,微博热榜,【#斯里兰卡总统正式宣布辞职# ，民众“霸占”总统官邸】当地时间7月11日上午，斯里兰卡总统拉贾帕克萨正式宣布辞职。截至11日，美元兑斯里兰卡卢比汇率...
...162915,2022-07-11 23:59:00,微博热榜,#wps被曝会删除用户本地文件#【WPS辟谣“删除本地文件”背后，$金山办公 sh688111$急需用户走向云端】在外界看来，WPS作为一款“门槛”免...
189532,2022-07-11 23:58:49,微博热榜,#玛检微转# 【#霍乱主要传播途径#有哪些？】霍乱是由霍乱弧菌引起，表现症状主要以腹泻为主，甚至肚子不疼就开始腹泻，也会伴有呕吐症状出现。发病急，传播快。被污染的水源及海产品都可以作为传播途径。剧烈腹泻往往对人体造成较大危害，会出现脱水等症状，迅速导致生命危险。（CCTV10） ...全文,0.0,0.0,0.0,1.0
161005,2022-07-11 23:58:48,微博热榜,#德国取消2035年碳中和目标#  那中国可以取消吗？否则吃亏了。 ,0.0,0.0,0.0,1.0
163719,2022-07-11 23:58:39,微博热榜,#谭谈交通全面下架#太离谱了太离谱了，这么好的一个人，我还等着他给我们带来更多更好有后续的作品，那些“人”为了??枉为人，无言以对，谭sir加油加油再加油！我们挺你 ,0.0,0.0,0.0,1.0
164459,2022-07-11 23:58:07,微博热榜,#谭乔再次回应谭谈交通下架#哇，真是小刀拉屁股，开了眼了，一个电视台竟然能无下限到这种地步，有悖核心价值观吧？还是电视台，为了大众的思想，趁早关了吧 ,0.0,0.0,0.0,1.0
162916,2022-07-11 23:54:39,微博热榜,#WPS被曝会删除用户本地文件#要兼容性好和美观使用office，需要隐私和权利的用libreoffice，wps？??都不用?? ,0.0,0.0,0.0,1.0
163883,2022-07-11 23:54:14,微博热榜,#成都广播电视台回应谭谈交通下架##成都电视台就谭谈交通发布声明# 吃相太难看脸都不要了… ,0.0,0.0,2.0,1.0
