美国,企业,最多,5亿,深圳,地球,宇宙,科技,总统,南海,高温,地面,法国,通胀,存款,总理,气温,取消,客服,高考,原神,和平,身份,质量,云南,朝鲜,高压,机型,星云,恒星,突破,团购,望远镜,欧洲,菜刀,苹果,图像,食物,对面,办公室,头条,红外,广告,航班,李某,太平洋,部队,飞机,特征,第一时间,聚集,保留,赵某河,非法,物质,红色,加息,量子,软件,购房,缓解,侵犯,起到,本福德,极端,飞行,态势,江苏,离谱,水果,译文,研究院,有时候,视野,领海,实施,新兴,用来,时代少年团,难受,本月,获取,身高,解放军,宪法,放在,查看,副热带,西沙,贬值,助力,监视,补贴,东莞,破坏,搭载,致命,公共,冷静,结构
0.9444444,0.0833333,0.1944444,0.0,0.0,0.1527778,0.0,0.1111111,0.4444444,0.1527778,0.0,0.0,0.1277778,0.4583333,0.0,0.1527778,0.0,0.0,0.0,0.0,0.0,0.3833333,0.0,0.1277778,0.0,0.0,0.0,0.1277778,0.0,0.0,0.1111111,0.0,0.0,0.3833333,0.0,0.0,0.0,0.0,0.0,0.1277778,0.0,0.0,0.0,0.1944444,0.0,0.3833333,0.1984127,0.3833333,0.0,0.2222222,0.1527778,0.0,0.0,0.1527778,0.0,0.1277778,0.3888889,0.0,0.0,0.0,0.0,0.1527778,0.0,0.1944444,0.0,0.3055556,0.1277778,0.0,0.1111111,0.0,0.0,0.0,0.0,0.0,0.1944444,0.3833333,0.2555556,0.0,0.0,0.0,0.3055556,0.0,0.0,0.3888889,0.4583333,0.1277778,0.0,0.0,0.1944444,0.2777778,0.0,0.1527778,0.0,0.0,0.1527778,0.0,0.3055556,0.0,0.0,0.1527778
0.0833333,0.8888889,0.0,0.0,0.1388889,0.0,0.0,0.1388889,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111111,0.1269841,0.0,0.0,0.0,0.0,0.0,0.1388889,0.2222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555556,0.1555556,0.1388889,0.0,0.0,0.0,0.1805556,0.0,0.0,0.0,0.0,0.1555556,0.2222222,0.1555556,0.1805556,0.1555556,0.0,0.0,0.0,0.3111111,0.0,0.1388889,0.0,0.0,0.1805556,0.0,0.0,0.0,0.0,0.3111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1805556,0.1805556,0.0,0.0,0.0,0.0,0.0,0.1805556,0.0
0.1944444,0.0,0.6666667,0.0,0.0,0.2916667,0.0,0.25,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1388889,0.0,0.0,0.8333333,0.0,0.0,0.1666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.25,0.0,0.2083333,0.0,0.0,0.0,0.0,0.1833333,0.2083333,0.1666667,0.0,0.0,0.2083333,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.1527778,0.0,0.2916667,0.0,0.0,0.75,0.2916667,0.0,0.0,0.0,0.2083333,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.225,0.2916667,0.375,0.0,0.0,0.2916667,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.225,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.25,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.2916667,0.6666667,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.6666667,0.4166667,0.0,0.0,0.6666667,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.2916667,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.2916667
0.1111111,0.1388889,0.25,0.0,0.1666667,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.1833333,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.2083333,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.4166667,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.3666667,0.0,0.0,0.0,0.0,0.0,0.1833333,0.0,0.1833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833333,0.1833333,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.2083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1527778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928571,0.0,0.0,0.2083333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5833333,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.5833333,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
