武汉大学,WPS,一例,碳中和,武昌区,2035年,武大,校内,纯属,体征,下架,牢狱之灾,马斯克,破产
0.9983923,0.0,0.723167,0.0,0.5563719,0.0,0.5195362,0.0112205,0.0,0.0,0.0018861,0.0,0.0,0.0088684
0.0,0.9966216,0.0,0.0,0.0,0.0,0.0,0.0,0.557352,0.0,0.0,0.0,0.0,0.0
0.723167,0.0,0.9964789,0.0,0.4611116,0.0,0.3267712,0.0121772,0.0,0.0,0.0028428,0.0,0.0,0.0
0.0,0.0,0.0,0.9882353,0.0,0.922655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5563719,0.0,0.4611116,0.0,0.9873418,0.0,0.5144802,0.0167458,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.922655,0.0,0.9864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5195362,0.0,0.3267712,0.0,0.5144802,0.0,0.9848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0112205,0.0,0.0121772,0.0,0.0167458,0.0,0.0,0.9791667,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.557352,0.0,0.0,0.0,0.0,0.0,0.0,0.9761905,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705882,0.0,0.0,0.0,0.0
0.0018861,0.0,0.0028428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978355,0.4302821,0.0,0.0274403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4302821,0.9677419,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411765,0.0
0.0088684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274403,0.0,0.0,0.983871
