开分,强制执行,美图,小树林,净亏损,加密货币,报恩,豆瓣,恩情,被害,冲卡,袁冰妍,赶着,偷税,春雷,款项,报答,争吵,洛阳,唐山市,新专辑,面包车,亏损,违约,逃税,中枪,税收
0.995671,0.0,0.0,0.0,0.0,0.0,0.0,0.9615452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578355,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279334,0.0,0.0,0.4839572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148459,0.0,0.0
0.0,0.0,0.993865,0.0,0.685439,0.66792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6011043,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9956332,0.0,0.0,0.0,0.0,0.0,0.8748557,0.0,0.0048289,0.0,0.0,0.0,0.0,0.0,0.0,0.0866746,0.5231243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.685439,0.0,0.984375,0.8732359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659375,0.0,0.0,0.0,0.0
0.0,0.0,0.66792,0.0,0.8732359,0.983871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7406452,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9948718,0.0,0.3038462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320338,0.0,0.1240093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9615452,0.0,0.0,0.0,0.0,0.0,0.0,0.9959677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9919839,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3038462,0.0,0.9761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9540043,0.0,0.7305195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8748557,0.0,0.0,0.0,0.0,0.0,0.9942529,0.0,0.0055191,0.0,0.0,0.0,0.0,0.0,0.0,0.0901254,0.2560084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993007,0.0,0.9347751,0.0,0.0,0.0,0.0,0.638986,0.0,0.0,0.0,0.6352252,0.0,0.0,0.0,0.0,0.0
0.0,0.0279334,0.0,0.0048289,0.0,0.0,0.0,0.0,0.0,0.0055191,0.0,0.994709,0.0,0.5171958,0.0,0.406746,0.0,0.0,0.017797,0.0,0.0,0.0,0.0,0.0,0.5965608,0.0,0.4074074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9347751,0.0,0.9938272,0.0,0.0,0.0,0.0,0.6213524,0.0,0.0,0.0,0.6180017,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5171958,0.0,0.9444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777778,0.0,0.0
0.0,0.4839572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406746,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697464,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.320338,0.0,0.9540043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727,0.0,0.7159091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638986,0.0,0.6213524,0.0,0.0,0.0,0.0,0.9772727,0.0,0.0,0.0,0.9656448,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0866746,0.0,0.0,0.1240093,0.0,0.7305195,0.0901254,0.0,0.017797,0.0,0.0,0.0,0.0,0.7159091,0.0,0.969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5231243,0.0,0.0,0.0,0.0,0.0,0.2560084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9578355,0.0,0.0,0.0,0.0,0.0,0.0,0.9919839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6352252,0.0,0.6180017,0.0,0.0,0.0,0.0,0.9656448,0.0,0.0,0.0,0.9767442,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.6011043,0.0,0.7659375,0.7406452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0136232,0.0,0.0,0.0
