0,0,0,0,0,0,7
1,0,0,0,0,0,7
2,0,0,0,1,0,7
0,1,1,0,0,1,9
3,1,1,0,0,1,9
0,2,2,0,0,2,12
1,2,2,0,0,2,12
2,2,2,0,1,3,12
2,3,3,0,1,4,23
0,4,4,0,0,5,25
1,4,4,0,0,5,25
2,4,4,0,1,5,25
0,5,5,0,0,6,28
1,5,5,0,0,6,28
2,5,5,0,1,6,28
0,6,6,0,0,7,30
1,6,6,0,0,7,30
2,6,6,0,1,7,30
0,7,6,0,0,8,31
1,7,6,0,0,8,31
2,7,6,0,1,8,31
0,8,7,0,0,9,32
1,8,7,0,0,9,32
3,8,7,0,0,10,32
0,9,8,0,0,11,35
1,9,8,0,0,11,35
2,9,8,0,1,11,35
0,10,9,0,2,12,36
1,10,9,0,2,12,36
0,11,10,0,2,13,38
1,11,10,0,2,13,38
2,11,10,0,1,13,38
0,12,11,0,0,14,39
1,12,11,0,0,14,39
2,13,12,0,1,15,40
0,14,12,0,0,16,41
1,14,12,0,0,17,41
2,15,13,0,1,18,42
0,16,14,0,2,19,44
1,16,14,0,2,19,44
3,17,15,0,0,20,45
0,18,15,0,0,21,46
1,18,15,0,0,21,46
2,19,16,0,1,22,47
0,20,16,0,2,23,48
1,20,16,0,2,23,48
2,21,17,0,0,24,49
0,22,18,0,0,25,51
0,23,19,0,0,26,52
1,23,19,0,0,26,52
2,24,20,0,1,27,53
0,25,20,0,0,28,54
1,25,20,0,0,28,54
3,25,20,0,0,28,54
2,26,21,0,1,29,55
0,27,21,0,2,30,56
0,28,22,0,0,31,58
1,28,22,0,0,31,58
2,28,22,0,1,31,58
0,29,23,0,2,32,60
1,29,23,0,2,32,60
2,30,24,0,1,33,61
0,31,24,0,2,34,62
1,31,24,0,2,34,62
2,32,25,0,1,35,63
0,33,26,0,0,36,67
1,33,26,0,0,36,67
3,33,26,0,0,36,67
0,34,27,0,0,37,69
1,35,27,0,0,38,70
2,36,27,0,1,39,71
0,37,28,0,0,40,74
1,37,28,0,0,40,74
2,37,28,0,1,40,74
0,38,29,0,0,41,76
1,38,29,0,0,41,76
2,38,29,0,1,41,76
0,39,30,0,0,42,79
1,39,30,0,0,42,79
2,40,30,0,1,43,80
0,41,31,0,0,44,82
1,41,31,0,0,44,82
2,42,31,0,1,45,83
0,43,32,0,2,46,85
1,43,32,0,2,46,85
1,44,33,0,0,47,86
2,44,33,0,1,47,86
1,45,34,0,2,48,87
2,45,34,0,1,48,87
0,42,35,0,0,49,88
1,42,35,0,0,49,88
2,46,36,0,1,50,89
0,47,37,0,2,51,91
1,47,37,0,2,51,91
3,47,37,0,2,51,91
2,48,37,0,1,52,92
0,49,38,0,0,53,94
0,50,39,0,2,54,97
1,50,39,0,2,54,97
1,51,40,0,2,55,98
2,52,40,0,1,56,99
0,53,40,0,2,57,100
2,54,41,0,1,58,101
0,55,41,0,2,59,102
1,55,41,0,2,59,102
2,55,41,0,3,60,102
0,56,42,0,2,61,110
1,56,42,0,2,61,110
2,57,42,0,1,62,111
0,58,43,0,0,63,112
3,58,43,0,0,64,112
0,59,44,0,0,65,117
1,59,44,0,0,65,117
2,60,45,0,1,66,118
0,61,46,0,0,67,121
