8,7,0,0,10,32
2,2,0,0,2,12
1247,805,5,7,1392,1830
1499,436,7,6,1691,2270
1717,81,9,38,1983,2752
1889,451,11,19,2195,3081
1892,451,11,19,2200,3090
1026,283,19,35,10410,3771
199,796,51,2,3527,5107
1290,1445,51,0,3538,5131
3135,1476,51,45,3679,5349
3136,1476,51,45,3680,5351
3378,1691,51,60,4000,5762
4681,690,160,69,10411,8084
6507,915,300,81,7670,11516
6508,915,300,81,7672,11517
6509,915,300,81,7673,11518
4317,2,443,88,7972,12051
10,9,0,2,10412,36
16,14,0,2,19,44
77,58,0,2,83,143
16,59,0,0,84,145
73,67,0,4,94,159
73,81,0,7,113,184
16,88,0,7,123,194
112,90,0,7,10413,200
73,97,0,7,134,210
73,111,0,8,10414,237
77,112,0,8,156,240
178,137,0,8,197,286
73,142,0,10,201,293
16,149,0,10,209,303
192,153,0,10,215,309
195,154,0,10,217,311
197,155,0,10,220,313
77,183,0,10,255,360
248,195,0,11,272,378
77,218,0,12,311,418
16,221,0,12,315,423
73,262,0,15,10415,496
195,266,0,15,384,502
77,275,0,0,397,519
16,289,1,17,427,554
73,301,1,18,443,573
10,443,1,19,457,590
10,344,1,3,503,650
16,348,1,3,10416,656
73,364,1,20,532,686
77,29,4,0,609,806
16,426,4,4,649,871
10,430,4,5,654,878
16,438,4,5,665,893
77,440,4,5,670,902
73,441,4,5,671,903
16,462,4,5,712,949
10,463,4,5,714,950
73,467,4,6,720,958
195,468,4,6,724,963
16,473,4,6,732,970
659,476,4,6,736,975
77,85,4,7,756,1013
73,525,4,7,826,1093
16,527,4,8,839,1109
8721,546,4,10,867,1150
73,178,4,10,10417,1179
77,558,4,10,892,1183
861,591,4,12,932,1263
16,603,4,12,10418,1301
951,239,4,13,1050,1375
10,242,4,13,1059,1384
73,650,4,14,1078,1409
16,650,4,14,10419,1410
1021,680,4,10,849,1475
77,29,5,0,1150,1530
16,30,5,0,1151,1531
77,711,5,4,1179,1577
10,720,5,4,1195,1599
16,68,5,5,1211,1614
77,423,5,5,1223,1629
16,907,5,5,1225,1633
73,740,5,5,1227,1636
10,780,5,5,1306,1721
77,785,5,5,10420,1742
77,320,5,6,1331,1750
77,788,5,6,1340,1760
73,791,5,6,1348,1777
16,793,5,6,1352,1780
1224,796,5,6,1362,1793
192,803,5,7,1382,1815
10,77,5,7,1384,1818
77,77,5,7,10421,1824
16,77,5,7,1389,1826
73,808,5,7,10422,1840
77,815,5,8,1419,1873
1224,820,5,8,1427,1883
77,822,5,8,1430,1890
1297,541,5,11,1447,1915
839,843,5,12,931,1936
1317,2088,5,12,1468,1949
77,193,5,12,1478,1965
77,856,5,12,1489,1980
77,865,5,13,1513,2009
1358,866,5,13,1515,2012
10,622,5,13,1532,2033
10,880,5,14,1538,2041
1378,884,5,14,1543,2047
73,886,5,14,1545,2053
77,52,7,5,1617,2171
1442,920,7,17,1621,2178
1224,929,7,26,1656,2221
77,930,7,5,1660,2228
1503,779,7,6,1695,2277
77,942,7,6,1697,2281
73,786,7,31,1709,2298
1503,786,7,31,1710,2300
77,786,7,31,1712,2302
16,786,7,31,1713,2303
77,795,7,7,1716,2311
77,731,8,16,1766,2384
77,967,8,16,1777,2402
73,969,30,16,1779,2407
77,787,8,4,1791,2434
77,373,8,4,1796,2444
73,345,8,17,1801,2455
77,77,8,17,1802,2461
1592,979,8,18,1808,2478
77,981,8,19,3198,2481
77,986,8,53,1824,2501
77,175,8,3,1828,2508
77,552,8,3,1830,2511
73,46,9,16,1867,2567
77,1001,9,16,1869,2569
73,293,9,17,1874,2581
10,293,9,17,1874,2582
1224,296,9,17,10423,2591
77,421,9,17,1902,2622
1661,961,9,17,1905,2628
77,429,9,18,1916,2643
16,1017,9,18,1930,2663
77,1018,9,18,1931,2664
77,373,9,3,1951,2700
77,1034,9,3,1979,2745
16,1036,9,3,1981,2748
1378,1044,9,39,10424,2778
77,396,11,16,2061,2876
1062,1077,11,16,2101,2945
73,422,11,17,1801,2970
192,1091,11,17,2136,2991
77,1094,11,17,2146,3005
77,370,11,18,10425,3037
1879,445,11,18,2180,3058
77,445,11,18,2183,3065
1895,1101,11,19,10426,3095
73,373,11,19,10427,3113
1910,464,11,19,2219,3118
77,1105,11,19,2221,3120
77,799,11,3,10428,3140
77,1035,11,3,2253,3159
77,1135,12,16,2327,3290
73,701,12,17,2355,3336
73,755,12,18,10429,3378
16,374,12,18,2402,3398
248,1156,12,18,2408,3405
77,73,12,19,2431,3438
192,1176,12,19,10430,3498
73,1182,12,19,2499,3525
1661,450,12,19,10431,3529
1224,401,20,45,2680,3781
16,60,20,45,2699,3811
73,1259,20,46,2710,3825
73,771,20,46,2798,3938
73,1276,20,47,2832,3982
16,1287,20,47,2907,4068
73,1306,20,1,10432,4126
16,202,20,48,10433,4141
73,1327,20,49,2996,4190
77,539,23,0,10434,4258
73,297,25,50,10435,4291
16,1362,27,2,3129,4436
77,1368,30,34,3146,4482
77,1194,30,17,3168,4536
77,91,30,18,3172,4548
77,1381,30,19,3185,4568
77,981,30,19,3198,4586
16,985,30,3,3218,4613
77,986,30,53,1824,4619
77,987,30,3,3221,4623
1224,2089,30,3,3222,4625
77,543,8,54,3227,4634
73,1060,41,56,10436,4730
16,1404,43,51,3320,4756
77,50,45,35,10437,4832
16,689,50,56,3450,4954
77,690,50,56,10438,4960
73,693,50,56,3463,4974
77,1367,51,56,3467,4985
16,1217,51,56,3468,4989
3008,1443,51,0,10439,5000
16,17,51,58,3482,5010
77,19,51,58,3483,5012
77,1251,51,58,3487,5023
77,1358,51,55,3491,5032
73,915,51,51,3492,5035
77,45,51,51,10440,5042
